,comment_id,comment_text,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
0,335,"L'allemand est, qua loi, celui qui a la citoyenneté allemande. Elle est accessible. Si vous vous sentez allemand est une autre affaire. Il y a probablement plus de types d'allemands que les gens de nationalité allemande.",0,0,1
1,186,"@USER eh bien, si l'on considère le coût de cette ville par les paysans, je dirais que ce n'est plus tout à fait vrai. En outre, le sud de l'Allemagne a été très, très longtemps en mesure de profiter de la LFA et de construire les structures de prospérité d'aujourd'hui. Aucun Land fédéral n'a plus bénéficié de subventions que la Bavière, suivi de NRW. Donc reste beau avec vos culs de dahoam.",1,1,1
2,1445,"en Autriche, mais encore trop cher les Allemands ou Européens, il devrait y avoir 20000 euros de modèles d'entrée.",0,0,1
3,1599,"@USER Avec une jeune femme confiante, oui, avec un ARROGANT TRITTBRETTEIN pas!",1,0,0
4,1971,"Cet homme devrait être ministre, car il a un truc sur le sujet.",0,1,0
5,96,@USER n'a que ceux qui sont là-haut qui n'ont plus qu'à monter et à faire en sorte qu'ils restent en bas.,1,0,1
6,971,@USER C'est exactement ce qui devrait être interdit.,0,0,0
7,215,@USER fois une petite question. Est-ce que vous étiez mieux ou pire avant les réfugiés?,0,0,0
8,1451,qui imprime un Ghrustl en Allemagne donc pas de centrales nucléaires en République tchèque et en Slovaquie des réacteurs vont au réseau...Mochovcze...,0,0,1
9,974,@USER ils peuvent faire mieux que la poubelle sénat .... drôle,0,0,0
10,237,"@USER, non, il est faux que près de 50% des crimes en capital soient commis par des migrants. Nous parlons de nombres d'assassinats relativement constants. Depuis 2015, le nombre de migrants a augmenté de manière spectaculaire. Cependant, le taux d'assassinat est resté relativement stable. Comment expliquer que depuis 2015, le nombre d'assassins allemands aurait dû être extrêmement réduit pour faire augmenter le nombre d'assassins d'origine immigrée de telle sorte qu'à la fin, il y ait un taux d'assassinat à moitié similaire ? D'ailleurs, il y a eu ces dernières années plutôt des consommations pour deux tueurs allemands de masse. L'un était Andreas, l'autre était Nils ...",0,1,1
11,1122,Yay... le bashing des hommes va dans le prochain tour.,1,0,0
12,2795,@USER vous trouvez vraiment???,0,0,0
13,2848,"Celui qui escadronne des ""fascistes de gauche"" manque avant tout d'éducation politique et historique et n'est pas compétent en tant que partenaire de discussion.",1,0,0
14,1620,"Des milliers de gens trahis, plus de 11 milliards de profits, et maintenant il parle de communion, il dit qu'il peut sortir le plus possible du gouvernement, et il n'y a pas que la possibilité d'Eautos.",1,0,1
15,1,"Vous pouvez vous mentir que le changement climatique humain n'existe pas, mais vous ne pouvez pas mentir à la nature. Combien de personnes doivent encore perdre leur vie ou même mourir en raison du changement climatique, jusqu'à ce que vous ayez compris la gravité de la situation?",0,0,0
16,809,Ceux qui ont des millions de réfugiés sans droit de résidence dans le pays financent par l'argent des contribuables. Il n'y a pas besoin d'émerveiller immédiatement les logements .Il n'y a pas besoin de s'étonner si les logements manquent! Il est construit! Exemple Tübingen 1000 appartements mais seulement exclusif pour les réfugiés..Les Allemands qui cherchent un logement ne peuvent emménager que dans 10 ans.,0,1,1
17,2179,Combien restez-vous ?,0,0,0
18,757,"Si elle n'avait pas été vendue, ça aurait été mieux.",0,0,1
19,3049,C'est @USER ! @USER @USER a fait référence à la réponse du WDR !,0,1,0
20,1707,"@USER lui-même réfléchit, en partie il y a tellement d'émotion à discuter.Cela a déjà quelque chose de, L'humanité a droit à vos organes, -ce n'est pas possible.",0,0,1
21,1121,@USER il s'agit des raisons possibles qui peuvent être invoquées.,0,0,0
22,1164,@MÉDIUM Bonjour.?,1,0,0
23,2091,"C'est génial que vous ayez la possibilité de créer des biens. Mais vous n'êtes pas concernés par le problème, car la majorité n'a pas la possibilité d'emprunter pour une maison. Vos commentaires montrent déjà que vous ne pouvez pas le résoudre.",0,1,1
24,1544,"Je trouve effrayant la façon dont ""@MEDIA"" tente de ""modérer"" l'opinion qui se réfère à M. Lanz.",1,0,0
25,1166,"Où sont les citoyens ordinaires, les travailleurs, les apprentis, etc., à partir de ce moment-là, l'égalité de traitement ne doit pas s'appliquer aux niveaux supérieurs...la fraction de hottes d'or...",1,0,0
26,2128,"@MÉDIUM Cher rédacteur, ""Chère Ronny Paemann,"" qu'est-ce que vous écrivez ? Il n'y a pas d'alcool dans le jeu.",1,1,0
