,comment_text,hf
0,#Rosenmontag ist abgesagt. #Rapefugees also wieder wie gewohnt ins Schwimmbad gehen!,1
1,bitte nicht die #Türkei zum #EU-Mitglied machen! #Menschenrechte #Pressefreiheit #Islamisierung,0
2,Wieso bekommen #rapefugees mehr als unsere Hartz 4 Enpfänger?  #esreicht,0
3,Den verfluchten #Rapefugees den Krieg erklären! #wasfehlt,1
4,"War das Wochenende im Ruhrpott unterwegs. Überall schwangere, muslimische Frauen mit einem Rattenschwanz an Kindern #Islamisierung",1
5,"#Asylanteninvasion Wenn es auf unseren Straßen zu Gewaltausbrüchen kommt - Die Verantwortlichen hierfür, sitzen in der Regierung / Merkel!",0
6,745 Millionen Menschen leben in #Europa. Ca. 4 Millionen #Flüchtlinge bereiten da Kopfzerbrechen? #Rassisten sprechen von #Islamisierung?!,0
7,Tja die #SPD will unsere Steuergelder für Flüchtlinge verpassen. #refugees #refugeesNOTwelcome #refugeesgohome #abmerkeln,0
8,Aber für die Kölner Polizei haben gestiegene Anzeigen nur einen Grund: Frauen seien anzeigefreudiger als noch 2015. #rapefugees,0
9,"Offenes, freies WLAN im #Sophienhof #Kiel. Mit ein Grund für die Vorfälle von gestern Nachmittag! Zurück nach Kabul mit den #rapefugees!",1
10,"#UnterdenLinden #Petry fordert bessere Regelung Gesetze für #Asylanten und #Migranten. Richtig, warum wird es nicht getan?",0
11,Regeln und Gesetze der Einheimischen sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,1
12,"#Blutrache, #Zwangsbekehrung, #Scharia, #Kinderbräute, #Vielehe, #Genitalverstümmelung - kann nicht erkennen, was davon zu uns gehören soll.",1
13,"Worin liegt der Sinn für die Bierindustrie, die #Islamisierung zu beschleunigen indem sie #Deutsche Biertrinker mit #Glyphosat dezimieren?",0
14,"Claudia #Roth: Wer Sex-Attacken von Asylanten anprangert, ist ein „geistiger Bruder“ der Täter! Fuck you from Switzerland! #asylanten #Grüne",1
15,Im Februar 2016 kamen nach neusten Angaben in der #ARD Tagesschau trotz Grenzkontrollen auf Balkanroute 39000 #Asylanten nach #Deutschland,0
16,Die Unterbringung im Gefängnis nur weil man Verbrechen begangen hat ist ein Verstoß gegen die Menschenwürde.#Hungerstreik #Rapefugees,1
17,#Merkel Wie ist diese Schlampe eigentlich auf die Idee gekommen das Land so tiefgreifend zu verändern? #Merkelmussweg #refugeesnotwelcome,0
18,Der #Weltfrauentag ist eine Farce angesichts der durch die #Merkeldiktatur vorangetriebenen #Islamisierung #Europas!,0
19,"Gratis Häuser,Wohnungen,Handys u. Öffitickets #Mindestsicherung, Straffreiheit, Vorreihung in Ambulanzen, Schlaraffenland Ö #ZIB2 #Asylanten",0
20,#BeateUhse Konzern vermarktet #Scharia konforme Sexprodukte - bitte boykottiert diese Firma.,0
21,"laut #orban wird #merkel Europa mit neuen 500.000 #asylanten fluten zusätzlich zu den millionen, die sowieso kommen. Ende Gelände D",0
22,Nach den Wahlen werden wir #Griechenland riesige #Asylanten-Kontingente abnehmen. Wetten?#AnneWill,0
23,In diesem Moment wird die Ernst-Grube-Halle endlich geräumt #leipzig #npd #jn #Legida #RefugeesNotWelcome,0
24,"#illner. erst hieß es, es kämen nur top Arbeitskräfte. jetzt lese ich NUR von wichsenden, vergewaltigenden, betrügenden #asylanten. #merkel",1
25,"Die #Merkel ist sehr """"Ich"""" bezogen. Sie soll sich um ihr Volk kümmern. #AnneWill #refugees #refugeesNOTwelcome",0
26,Slovenien macht die Grenze dicht! Noch eine gute Nachricht! #merkelmussweg #abmerkeln #refugeesnotwelcome,0
27,"Luxushotels werden in #Asylanten Unterkünfte  umfunktioniert , #Deutsche müssen in primitiven heruntergekommenen  Slums leben.#annewill #ARD",0
28,"Niemand hat mich gefragt, ob ich das schaffen will. #Asylwahn #Rapefugees  #Volksentscheid zu #Asylrecht, #Grenzen dicht, #Merkel muss weg!",0
29,Ausnahmen beim #Mindestlohn sind auch überhaupt nicht mit der #Scharia vereinbar wenn #Moslems betroffen sind. #SPD #CDU #Deutschland,0
30,"Pöbelnde #Asylanten zeigen Kopf-ab-Gesten und Stinkefinger in #Clausnitz. Laut IM #Ulbig keine Ermittlungen gg. Asylanten, nur gg. Deutsche.",1
31,"Geld aus der Portokasse von #Merkel, oder doch Steuergeld? 500.000.000,00 Euro für UN Flüchtlingshilfe #Asylanten",1
32,"Es nicht die Angst vor #asylanten, sondern die Überfremdung Deutschlands. Und ihr Politiker wisst dieses auch ganz genau!! Es reicht Stopp!!",0
33,Spahn von #cdu will Wegfall von Mindestlohn für #asylanten. klare schlechterstellunf von Einheimischen! Abwählen!,0
34,"Wenn sich der Hass in #Deutschland mal seinen Weg gebahnt hat,wen wird er eigentlich treffen ? #Rapefugees #Politiker #Ossis #Journalisten ?",1
35,"d-radio: 2,8 millionen menschen #fluechtlinge #migranten #asylanten in der #tuerkei , verhandlungen mit der #EU",0
36,"Was nützt mir der Erde Geld? Kein kranker Mensch genießt die Welt!"""" - Goethe #Deutschland #HartzIV #merkel #fluechtlinge #asylanten",0
37,"Vor einem Jahr mussten Eltern, wenn Töchter ins Schwimmbad gingen, nur überlegen, ob sie schon schwimmen können. #Rapefugees",0
38,"#hartaberfair Andere #EU Länder sind Land und Bürger wichtiger als #Asylanten. Moralisch, ethisch und finanziell verständlich",1
39,#besorgteGutmenschen regen sich auf :  #Khaled - von #Asylanten getötet. #LaGeSo-Toter - #Moabithilft Ente #Handgranate - warfen #Migranten,1
40,"das was im SWR Radio momentan an Werbung pro #Asylanten gemacht wird, ist so penetrant wie Phase der Weihnachtssongs & Fastnachts-Seeligkeit",0
41,Idee: #Hartzer VS #Asylanten im Einzelkampf . Wer schneller nen Arbeits/Ausbildungsplatz findet und Deutsch lernt/kann darf bleiben.,1
42,#schweden in bürgerkriegsartigen Zuständen! eine lasche konservative und eine irre sozialistische Regierung fluten das Land mit #asylanten,0
43,Utter zbale in this hashtag #rapefugees,1
44,Gestern kamen die #Asylanten. Heute Nacht wurde versucht einzubrechen. #Zufall?,1
45,"Erschreckend, daß es #Frauen sind, die 30 Jahre #Emanzipation zugunsten islamistischer #Vergewaltiger in die Tonne treten! #rapefugees #AfD",1
46,"#Deutschland übt #Karneval nach den Regeln der #Scharia, weil da eh bald nur noch #Moslems feiern werden. Deutsche #Frauen aus Angst Zuhause",1
47,Wenn ich mir den Mond gerade so anschaue: Die #Islamisierung des Abendlandes ist doch schon längst durch!,0
48,#fakt auf #ard: #asylanten fahren mit Taxi herum auf Steuerzahlerkosten. mehrere 100€. #merkel macht es möglich! unglaublich!,0
49,"#Asylanten Man kann NICHT einf 2 VERSCHIEDENE Menschen bzw Völker/Kulturen""""zusammenleg"""" + sagen nun seit ma glückl miteinander+versteht euch",0
50,#idomeni #Asylanten #Fluechtlinge  Schöne Vorstellung für die Kameras. Blanke Gewalt. Merkel drückt daheim Krokodilstränen ins Kissen. ??,0
51,"Keine Schnittmenge zwischen #NPD und #AfD? Funny … #Euro? #Asylanten? #Islam? #Familie? Es gibt die Schnittmenge, die #AfD gibt sie nicht zu",0
52,#Arabisch als Schulsprache - #Islamisierung #Deutschlands in vollem Gange,1
53,"Stelle mir gerade vor, wie es wäre, wenn die Saudis in Deutschland einmarschieren würden #Scharia #Krieg in #Syrien",0
54,Wer hat uns verraten? Die Sozialdemokraten!   Werner Faymann ist derzeit eine Paradebeispiel dafür. #Kontingent #refugeesnotwelcome #traurig,0
55,"lieber #Horst #Seehofer,der #Bayerische #Staat braucht eine #Strategie,die der #Islamisierung #Bayerns einen #Riegel #vorschiebt! #sz #faz",1
56,"Die haben nix mehr"""" die Leute in den #Asylanten-Heimen. Gut, außer denen mit den geklauten Handys.#Maischberger",0
57,Man stelle sich vor es käme zum Frieden und alle #Asylanten mit syrischen Pässen würden dorthin ausgeflogen.,0
58,"#JuliaKloeckner. wir von der #cdu schaffen es, weitere Millionen #asylanten nach D zu locken und die dumme Bevölkerung zu melken. wetten?",0
59,"#maischberger Fratscher:Geld für Migranten als Investition.Bis dahin weiterhin #rapefugees , #Islamisierung und #IS Terroristen. #abmerkeln",1
60,"Egal welche #Partei, man wählt nur #Orange oder #Apfelsine! #AnneWill #EinProzent #grenzendicht #refugees #refugeesnotwelcome #Deutschland",0
61,"Das #Griechenland,das jetzt alle Beschlüsse zu #Asylanten blockieren will is aber nicht das Land,das quartalsweise Milliarden schnorrt,oder?",0
62,"#Reker beugt sich #Islam und #Scharia, schafft für Frauen Sicherheitszonen (=Fluchtpunkte) """"#Flüchtlinge"""" #Köln #Massenvergewaltigungen",1
63,#maischberger Liefers: Wir achten Frauen.... Für viele von den #rapefugees ist das wie ein Paradies hier.Lasche Strafen bei Vergewaltigungen,1
64,"Perlen aus der Redaktionskonferenz - heute Idee für Buchtitel: """"Das Wunder von #Dresden - #Islamisierung ohne Muslime"""" #NoPegida #NoLegida",0
65,"Wir werden noch gemeinsam auf #PEGIDA stehen, Schulter an Schulter, bis zu den Zähnen bewaffnet, im Bürgerkrieg gegen #Rapefugees  #schauhin",1
66,"#merkel rechnet mit 3,6 Mio neuen #asylanten in D bis 2020! zum vergleich: Schätzung 2015 war 500.000, gekommen sind >1,1 Mio. dank #cdu",0
67,"Ich habe bis heute nicht verstanden, was an Dunkelhäutigen in schwarzen Burkas mit dunkler “Kultur“ BUNT sein soll... #Islamisierung",1
68,"Dieser Sommer wird der Sommer der #Rapefugees, schade das die Wahlen nicht im Herbst sind.",0
69,Die Gedanken sind frei -NICHT mehr in #Europa #Deutschland #Sophienhof #Koelnbhf #Merkelmussweg #Islamisierung #Flüchtlingskrise,0
70,"Wer für deutsche #Arbeitslose und #Obdachlose die selben finanz. Mittel fordert , wie sie """"#Asylanten"""" zukommen , wird beschimpft. Absurd.",0
71,"Wieso haben diese Gutmenschen, Vegetarier, Veganer und Tierschützer eigentlich nichts gegen """"Halal""""-Schlachtung?  #asylanten #flüchtlinge",0
72,"Ein Soldat, der gegen Flüchtlinge ist und u.a. #rapefugees nutzt, kritisiert meine Tweets zu #InTheBox - Patridiot mit Gewehr. Na toll.",0
73,Manche sagen die #AfD Wähler sollen sich #schämen. Ich finde die Jungs von #koelnhbf haben viel mehr Grund sich zu schämen. #rapefugees,0
74,"#maischberger Laschet:Pegida gibts im Westen nicht.Leute trauen sich nicht mitzulaufen wegen Ächtung,aber #islamisierung ist umso realer dor",0
75,#BeateUhse fördert #SCHARIA über Internet-Sexshop El Asira aus den #Niederlanden,0
76,DANKE #Clausnitz FÜR EUREN #WIDERSTAND ! IHR SEID HELDEN! #SOS #rapefugees #koelnhbf #cologne #Islamisierung AUS WESTDEUTSCHLAND: DANKE!!!,1
77,Wie bei #hartaberfair gesagt brechen 66% der #Asylanten die Ausbildung ab.#afd,0
78,#Asylanten betteln jetzt auch in den Nachbardörfern. Wie lange wird diese Kriminalität noch versteckt? #Asylbewerber #Fluechtlinge #asylum,1
79,"Nur, weil's 100mal gesagt wurde, ist es nicht falsch: Ab der Türkei sind Syrer u Iraker keine Flüchtlinge mehr! #refugeesnotwelcome",0
80,Flüchtlingen nicht sofort gratis Villen & Autos auszuhändigen ist ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,0
81,Könnten wir Schmarotzer und Kriminelle loswerden würde die #Asylanten-Schwemme auf beherrschbare Zahlen runtergehen.,1
82,"Ob #Asylanten wohl mitbekommen,  daß #linke, #gutmenschen, #antifa, die Deutsche  Nation, zerstören wollen? ?",0
83,"Angst vor #Islamisierung? Die deutsche + europäische Geschichte, Tradition, Bräuche, Sprache leben, lehren und vermitteln! #hartaberfair",0
84,#oecd schätzt Wachstum von D in den nächsten Jahren viel schwächer ein als erwartet. wo ist der Boom durch #asylanten außer bei schulden?,0
85,"Mecklenburg-Vorpommern  21.01.2016  SPD 28 % AfD 5 %,  16.02.2016 SPD 22 % AfD 16 %  #Bereicherung #Flüchtlinge #SPD #Islamisierung",0
86,"In Deutschlandradio Kultur erfahren wir gerade, dass der Islam gg dem Christentum die frauenfreundlichere Relion ist. #Islamisierung #PEGIDA",0
87,Ca. 70.000 Syrer fliehen vor Kämpfen. Warum KÄMPFT ihr nicht endlich für Euer Land? #refugeesNOTwelcome #fluechtlinge,0
88,Jetzt warte ich auf den #Brennpunkt der #ARD +ein #ZDFspezial zum Thema #Handgranate  mit #Maas  + #Kretschmann #Asylanten,0
89,Integrierte werden abgeschoben?Illegale TÄTER dürfen bleiben?? Wieso läuft hier so viel falsch?? #refugeescrisis #islam #rapefugees,1
90,"Liebe Gutmenschen,eure Einzelfall Asylanten werden immer mehr.#kiel #sophienhof  Da sieht man was schlummert in den armen #Asylanten.#afd",0
91,Frankreich sagt sie werden nur 30T #asylanten aufnehmen..und wir haben seit Jahresbeginn schon 100T aufgenommen. #Merkel verpiss dich!!,0
92,Warum spendet #hoaxmap die #Werbeeinnahmen nicht den #Opferfamilien die durch #Vergewaltigung von #Flüchtlinge und #Asylanten passiert sind,0
