,Unnamed: 0,id,prediction0,prediction1
3,3,Früher mal eine Nachrichtensendung -jetzt der Ar….. von Kim Kardashian mal eben ganz fluffig nach einem Beitrag zu einem terroristischen Anschlag gestern    .Interessante Entwicklung,0.2823718190193176,0.7176281809806824
6,6,"1/3tel abbauen, die anderen 2/3tel neu besetzen oder wieder wählen; einige besser nicht. Angefangen mit denen, die die Transparenzregeln nicht einhalten, die die durch Nebeneinkünfte auffallen und solche, die Steuergelder wider besseren Wissens verschwenden. Desweiteren sollten alle gehen, bei denen ein Anfangsverdacht für eine Straftat oder ein Dienstversäumnis besteht. Das wäre schon einmal ein guter Anfang.",0.883419394493103,0.1165806129574775
7,7,"Jede/ r trägt in den Entscheidungen, die wie auch immer getroffen werden, eine eigene Verantwortung. Wir als Familie haben uns nach einer wochenlangen anstrengenden Auseinandersetz ung und Abwägen von Pro/ Contra entschlossen die Impfung zu machen . Im August sind wir alle komplett geimpft. Es war für jeden Einzelnen ein anstrengender Prozess , wir sind alle unterschiedliche Persönlichkeite n , aber was wirklich entscheidend gewesen ist : Wir sind eine Familie und wir tragen für einander Verantwortung. Gestern habe ich die zweite Impfung erhalten. Anstrengend, wirft viele Fragen in mir auf _ aber auch nach all diesen Monaten ein wenig Entlastung. Wie auch immer eure Entscheidungen sind: Habt Respekt füreinander.",0.9462962746620178,0.0537037476897239
8,8,"Wenn es um Gerechtigkeit geht, dann gibt es KEINE Priorisierung",0.9017446637153624,0.0982553586363792
9,9,"Ein einziges Chaos, weder Mut, noch Handlung, noch Kreativität. Verstaubte vollkaskoversic herte Politiker treffen Entscheidungen und ENTSCHULDIGEN sich dafür 🤮 schlimmer gehts nimmer ‼️ Ach und: UNBEDINGT den Lauterbach wieder einladen, das bringt doch jedes Mal wieder einen neuen Blickwinkel 🥶😡 Eine sehr, sehr mütende Bürgerin ‼️",0.0438649207353591,0.956135094165802
12,12,All unsere Jungs sollen endlich nach Hause kommen. Was haben die ständig im Ausland zu suchen 😏,0.1516195982694625,0.8483803868293762
14,14,Längst überfällig,0.8609628081321716,0.1390371918678283
15,15,"Liebe Nutzer*innen, wie haben Sie die Diskussion erlebt? Wir freuen uns auf Ihre Kommentare und Anregungen.",0.9745270609855652,0.0254729576408863
18,18,Weder Söder noch Laschet haben die Eier in der Hose dieses Land zu führen.  KEINE STIMME für CDU/CSU sowie grüne und SPD. Die Politische Verarschung muss aufhören. Ausreden werden durch Wiederholungen und schlechter Krisenbewältigu ng immer mehr zur Belastung der Bürger. Lügen und Betrug zeigen die Gier derer die das Volk für doof verkaufen wollen,0.0396117269992828,0.9603882431983948
19,19,"Ein hervorragender, sehr vernünftiger Mann. Hat viele Dinge richtig erkannt.",0.917267918586731,0.0827320739626884
24,24,Nicht nur reden seit Jahren sondern endlich machen.,0.8974018096923828,0.1025981307029724
