,comment_text
0,"Experten vermuten, dass die in Indien entstandene Delta-Variante des Coronavirus sich bald weltweit durchsetzen wird. Wie gefährlich ist sie und wirken die Impfstoffe gegen sie? https://kurz.zdf.de/LFvW/"
1,"Bis Ende Juli wird jeder impfwillige Erwachsene eine erste Spritze bekommen, glaubt Gesundheitsminister Spahn. Grund dafür sind unerwartete Impfstoff-Lieferungen: https://kurz.zdf.de/FHv/"
2,Angesichts der Ausbreitung der Delta-Variante dringen Ärzteverbände auf schnellere Corona-Impfungen. Krankenhäuser sind mit Blick auf die Auslastung der Kliniken optimistisch.  https://kurz.zdf.de/xXa/
3,Ein Bericht von Australien wäre auch nicht schlecht!
4,"Die Politik macht also die Vorgaben, na sieh mal einer an…"
5,"Wem kann "" man"" überhaupt noch ""glauben""???"
6,"Blödsinn. Der Grund ist nicht nur, dass dann mehr Menschen eine Erstimpfung bekommen sondern die Zweitimpfung wird momentan an dem Punkt gesetzt, wo der größtmögliche Schutz erreicht ist. Um dann da nochmal zu pushen. Wenn man jetzt kürzere Intervalle macht geht der persönliche Schutz eines Einzelnen runter da der Zeitpunkt nicht optimal ist."
7,Delta hat aber auch ganz gefährliche Symptome. 🥱😉https://www.instagram.com/p/CQif2l0qbqu/?utm_medium=copy_link
8,"Man man, was die Politiker alles so wissen und fordern."
9,Es wird alles so gedreht wie man es gerade braucht.
10,"Der Amoklauf in Würzburg hallt nach – nicht nur der Bundespräsident zeigt sich erschüttert über die Brutalität des Täters. Eine von mindestens fünf Schwerverletzten schwebt noch in Lebensgefahr, drei Frauen erlagen gestern am Tatort ihren Verletzungen: https://kurz.zdf.de/KmSx/"
11,"Nach der Messerattacke in Würzburg, bei der drei Menschen starben und mehrere verletzt wurden, informiert um 15 Uhr die Polizei Würzburg über den Ermittlungsstand: https://kurz.zdf.de/GA6J/"
12,"Die Lebensqualität im Regenbogenland, steigt stetig.. Mein Beileid für die betroffenen Eltern, Kinder, Ehemänner, welche ihre Töchter, Mütter bzw. Ehefrauen verloren haben!"
13,"Ich habe eine grandiose Idee, wir nennen ihn um. Ich dachte da an David S. oder so. Dann suchen wir noch ein pregnantes Detail, hatte er zufällig am 20.04. Geburtstag? Zack, fremdenfeindliches Motiv, perfekt für die Statistik 🥰.  Was? Den Trumpf habt ihr schon beim Münchener Attentäter ausgespielt? Macht nix, seid mal ein bisschen kreativ, euch wird schon was einfallen 🤫😉"
14,"Fand es gut, dass  Steinmeier , der beste  Bundespräsident aller Zeiten , gestern in Würzburg war und die Opfer und Hinterbliebenen besucht hat . Ach ne ,  der war ja gestern im Rheingau und hat das Rheingau Musik Festival eröffnet... Man muss halt Prioritäten setzen ...."
15,Sind 2 Amokläufe innerhalb von 5 Jahren in Würzburg ein Grund zu Sorge? 
16,Danke für die Betreuung beim Denken.
17,Was würde Gott dazu sagen? Haltet Euer Herz offen.
