,comment_id,comment_text,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
0,335,"German is, qua law, who has the German citizenship. It is available. Whether you feel yourself German is another matter. There are probably more types of ""being German"" than there are people with German citizenship.",0,0,1
1,186,"@USER well, considering how expensive this city has become by the farmers, I would say that this is no longer quite true. Moreover, southern Germany has been able to profit for a very, very long time by the LFA more than able to build up today's prosperity structures. No state has benefited more by subsidies than Bavaria, followed by NRW. So stay nice with your asses dahoam",1,1,1
2,1445,is supported in Austria but still too expensive the German or Europeans it would have to be 20000 Euro entry models.,0,0,1
3,1599,"@USER With a self-confident young woman already, with an ARROGANT DRIVING NOT!",1,0,0
4,1971,"This man should be a minister, because he's got something from the subject.",0,1,0
5,96,@USER stands up to everyone only the ones up there just like theirs and make sure that the ones down also stay down.,1,0,1
6,971,@USER This is exactly what should be banned.,0,0,0
7,215,@USER times a small question. Was it better or worse before the refugees?,0,0,0
8,1451,that prints a Gschichtl in Germany so no nuclear power plants in the Czech Republic and Slovakia go reactors to the grid...Mochovcze..,0,0,1
9,974,@USER they can certainly do this better than the trash he Senate ....funny,0,0,0
10,237,"@USER, no, it is wrong that almost 50% of all capital crimes were committed by migrants. We are talking about relatively constant murder figures. Since 2015, the numbers of migrants have risen sharply. However, the murder rate remained quite constant. How would you now want to explain that since 2015 the number of German murderers must have fallen extremely, in order to allow the number of murderers with a migration background to increase so that in the end a half-like murder rate still exists? By the way, there have been more consumptions in recent years because of two German mass murderers. One was Andreas, the other was Nils ...",0,1,1
11,1122,Yay... the men's bash goes into the next round.,1,0,0
12,2795,@USER do you really find??,0,0,0
13,2848,"Anyone who rads of ""left-fascists"" lacks above all political and historical education and is unsuitable as a discourse partner.",1,0,0
14,1620,"Thousands of people cheated, over 11 billion profits made and now talking about commonality. Of course he says that so that he can get as much out of the government as possible. And there is not only the possibility of eautos.",1,0,1
15,1,"Rather sad to read these comments. You can lie to yourself that there is no climate change made by humans, but you can't lie to nature. How many people still have to lose their livelihoods due to climate change or even die until you have recognized the serious situation?",0,0,0
16,809,"If you have millions of refugees without a right to stay in the country, you will be financed by tax money. If you have apartments there is no need to be surprised if you are missing apartments! It will be built! Example Tübingen 1000 apartments but only exclusively for refugees..Germans who are looking for an apartment may not move in until 10 years.",0,1,1
17,2179,How much are you going to be converted?,0,0,0
18,757,"If it hadn't been sold, it would've been better",0,0,1
19,3049,@USER nevertheless it is! @USER @USER referred to the answer of the WDR!,0,1,0
20,1707,"@USER itself reflect, partly there is so emotional discussion.That already has something of,, Humanity has a right to your organs, -that is not possible at all.",0,0,1
21,1121,@USER is about the possible reasons that are mentioned.,0,0,0
22,1164,@MEDIUM Hello already hung up.?,1,0,0
23,2091,"That's great that you have the opportunity to create property. It's just not about you, because the majority has no way to borrow from a home. You can already see from your comments that you can't (be) grasp the problem at all.",0,1,1
24,1544,"I find it frightening how ""@MEDIUM"" is trying to ""moderate"" the opinion that refers to Mr Lanz.",1,0,0
25,1166,"Where are the ordinary citizens, the workers, trainees, etc. from then on equal treatment must not apply to the highest levels.",1,0,0
26,2128,"@MEDIUM Dear editorial staff, ""Dear Ronny Paemann"", what are you writing? There is no alcohol in the game",1,1,0
27,2927,"@USER, you do not seem to have grasped the core value of democracy, the recognition of the equivalence of all people. So if you attack this core value as aggressively as the AfD, you must expect decisive democratic resistance.",0,1,1
28,408,Same right for all!,0,0,0
29,3074,"@USER one should leave such pöblers, who also rape Kurt Tucholsky, to stand publicly. What must Mr @MODERATOR let us his guests still like??",0,1,0
30,1432,@USER Cognac out of German coffee cups. And greet your 5 children!,1,0,0
31,2844,"Mehmet Daimagüler is invited and is guaranteed to dissect as a lawyer Young Hasspamphlete, who sets it off via Twitter.",0,0,0
32,1502,No photosynthesis without CO2.,0,0,1
33,3168,@MEDIUM .liebes @MEDIUM Team. Wait for the Greens to rule. Then listen and see .And on the topic of E cars .Evaporation 2 million liters of water to make a clay silicon. And E cars want the Greens and the rest of the government. Need more examples.Greens also collect money without being at a conference. They sign the attendance list and run away again from source of various TV shows.,1,1,1
34,2021,The Prime Minister May can end the spook! Just withdraw the withdrawal request and then resign! In GB she needs the approval of the parliament!,0,1,1
35,3169,@MEDIUM .The best thing is to laugh from the greens.,1,0,0
36,1760,"So if you don't have a ID card, no matter why, maybe you just weren't fast enough or if no ID card is found, you're automatically donor. right, I don't think that. actually, my organs automatically belong to ME and that even after my death.",1,1,0
37,500,"@USER Uh, yes: ""Home is the country where I was born."" If she actually went to a polytechnic college, she will probably have been born in the GDR, won't she?",0,0,0
38,2776,@USER it will turn on enough,0,0,0
39,936,"@USER Your comment fits perfectly into the category ""If you have no idea...""!",1,0,0
40,703,"Because it's not necessarily that easy. Try working shifts when they live in the countryside if they can't afford a car. Or if they're dependent on the Internet because of work. The country would be more attractive and ""inhabitable"" u would cost more money and time so ""condensing"" in the big city is the first relief of the better way. And as they say the real estate sharks are the problem. One could live cheaply in the city often as in Kiel there are even quite a lot of free apartments. But all in the hands of Vonovia, German housing and other pack and stuff that crawls and fluffs on the stock exchange.",1,1,1
41,366,especially now..,0,0,0
42,2185,@USER in this comment nobody has to sell you for stupid anymore. You can do it all by yourself!,1,1,0
43,579,"Ingrid Hitz Your reading skills leave much to be desired. I'm German, by the way. And neo-eugenik sucks, why, I certainly don't have to explain to you.",0,0,1
44,1948,"@USER If you confuse sect with common good thinking, then perhaps! I am used to that people who are purely materially minded do not take me seriously. Is nothing new. Therefore, we also have the world we have today! These people stand in the way of themselves, who want a better world but walk over corpses.",0,0,0
45,364,It's better to live in the village than to talk like this.,1,0,0
46,2642,"The Greens should say who is going to finance all this, but it is easy for the taxpayer to pay 1500 € net per month in Berlin",0,0,0
47,2540,We don't agree! FfF is halligalli for me. There aren't any types of punished parties talking either. But they're elected. And the last election has flushed 8% greens into the Bundestag. We want to let the church in the village. The Groko will do a devil and let it break apart at this depth of opinion.,0,0,1
48,1968,"@MEDIUM I have come to know a life in which egoism has priority. People use themselves immeasurably, take more than they need and give up is not exactly their strength. In this sensitive area I find no moral compass. If someone wants to donate his organs, I think it is very honorable. Nevertheless, the hair scatters to me when I think that a person who spends his whole life trying to enrich himself and his own, unscrupulously wants to ignore everything and also does, the same chance has to continue his life at the expense of others like a person who is always only there for others. As I said, I don't trust the roasting and perhaps also think of the useless operations that may occur when enough organs are available. What is not compatible with me is the fact that by now almost 200 dead-sick people are waiting for it to be redeemed despite the court ruling. As I said, it is not enough to go to church once in a week, charity must also be lived and many are far away.",0,1,1
49,321,"If I read some comments here, then I have to say what seems to be missing from the country is not national thinking, but education.",1,0,0
50,750,"Werter @USER, how about a counterargument? I can prove my small execution on the basis of scientific evidence, if desired!?",0,1,1
51,3008,"What you have about authoritarian, anti-democratic and anti-constitutional ideas about freedom of the press scares me, but I am not interested in being a Democrat. If you have a problem with Art. 5 GG, then I recommend the Putinocracy to you.",0,0,0
52,1623,"Thank you very much. I didn't start with it.. Follow your show every time I can. Always find out how you can dress your opinions nicely by your employee If the section is lomming: What do our viewers say. It's quite sceptical but the majority of comments say something else. here I don't mean any commentaries that don't listen, I strongly condemn. But your editor always looks for positive comments at least in the majority if the majority of the audience is completely different. Too bad, actually.",1,0,1
53,3043,@USER yes the @USER is always and everywhere present.,0,0,0
54,2519,I was born here!,0,1,1
55,37,These announcements are always made before elections and nothing is kept. When the citizen understands this.,1,0,1
56,45,"With my fucking pension as a 2x divorced man I also have to pay taxes and health insurance. On my private investments there was and there is no interest either. You should be ashamed and roast in hell,,,,,,",1,0,1
57,977,"@MEDIUM people always hear or read only what they want. It's always easier, in the supposed anonymity, to beat others verbally instead of listening more closely. Most commentators of the post apparently did not see the broadcast.",0,1,1
58,562,"@MEDIUM I didn't write that your propaganda was going on. Mr @MODERATOR didn't understand the reason for the shitstorm that @MEDIUM harvested. Many commentators do exactly what I'm criticizing at the beginning: they deny me MY homeland Germany, because my father is Turk and that's precisely what I think is due to the unfortunately chosen title. Read here: https://www.facebook.com/@MEDIUM/posts/1973722566059879?comment_id=1974343242664478",0,1,1
59,1359,"Oh, can the kids talk to you now?",1,0,0
60,1898,"@USER immunosuppressants are highly carcinogenic, up to 18 different medications have to be taken. Especially since there is no guarantee that the recipient will reject the organ despite medications!",0,0,1
61,2492,@USER so far no one has run completely,0,0,0
62,1067,Why don't you work in Castrop Rauxel or Dortmund and Gelsenkirchen?,0,0,0
63,1601,"That the Greta is being abused is clear! With arrogant freerider I meant this ""Luisa"".",1,0,1
64,3215,"I did not find Mrs von der Leyen on my ballot sheet, nor did they see her in the election campaign. First of all, she should clean up her country as Minister of Defence before being promoted to the highest position of the EU, against the will of the electorate. Here we are being betrayed as voters and with democracy there is nothing left to do, then you can leave the European elections altogether. Too bad about the time and the money that all this has cost. Then why are everyone wondering about bad election results?",0,1,1
65,347,The Trollchen is already there.,1,0,0
66,444,@USER apart from that I do not need boris to return this country to the rear. Do not worry about it. We leave the assi turken here for you and forever :) my dear boris,1,0,0
67,56,"So an equal pension for all? How about a BGE of 1,200 euros and if you want more, you have to go to work and or put aside some of the money he has earned through work.",0,1,0
68,216,""" depending on the calculation 30-55 billion € per 1 million refugees on it and we now have just under 2 million in the country!"" Have I ever asked how stupid this people has become? The net costs are far from lower. As you know, the money does not disappear, but flows back into our economy. If you want to have the money again, then the economy has to be taxed accordingly. See e.g. the development of corporate tax in the last 3 decades. To that, as you know, the demand for products increases through the refugees. More must be produced, that again means more jobs and increasing turnover. ""In recent years rents have risen more strongly because of the additional competition from the refugees than in previous years, "" Have I actually asked how faded this people has become? Oh yes, I have already done so. The number of affordable apartments has halved in the last 15 years. It has been massively saved in the area of social housing since 2005.",1,1,1
69,3236,Why the hell do we have to take them all the time? Germany has received most of them from the eu states. They really don't need help coming to us because they can't afford it.,0,1,1
70,2043,just doll everything doll..,0,0,0
71,599,I don't need to ask at all.I can see that!,0,0,1
72,2742,"Well, this excitement in the depths of extremism theory and the authoritarian characters associated with it have already described Lipset, Adorno and Fromm impressively many decades ago.",0,0,1
73,32,@USER We only pay with our trust. That's all. In 1973 the gold standard was terminated. Money does not have a direct equivalent.,0,0,1
74,3068,I guess I missed!!,0,0,0
75,2908,Please continue to browse with your anti-democratic and anti-human rights appearance here. Everyone can read what sympathizers attract the ethnic-nationalist AfD.,0,0,0
76,1797,"@USER if the law is passed to open the wrists, you are probably also there. Help. De Leut scream ""freedom of expression"" - but if you live this freedom, do the right-wings come and knock on it???You are certainly primary school teacher... dat dat do jut basse. (write how to hear)...",1,0,0
77,1213,@USER seriously? That you give women less pay for the same job?,0,0,0
78,1154,"To regulate something with quotas cannot work in the long term. There will never be so many male hairdressers the female, because that is just a profession that simply lies women more. Likewise, there will never be so many construction workers as male construction workers. Was that just also jobs, and men much better get along point there you can only make so much quota and over the quota of a supposed deficiency fix comma as soon as the quota would fall away again, however, would also adjust the natural distribution again.",0,1,1
79,748,"@MEDIUM they are of course right. I didn't want to criticize their show, which I actually follow with interest every Monday, but rather the content, issued statements.",0,1,0
80,1486,@USER also something else to say than to scold.,0,0,0
81,2706,"@MEDIUM something positive is said about Mrs Schulze and you are asking for it. In the other comments, which are really borderline, is not moderated. Annoying.",0,0,0
82,959,@USER I'm coming to tears,1,0,0
83,1907,"@USER If I find it so bad to donate, then I do not ""forget"" to contradict. I'm sorry that it will soon end with your convenience and that you won't be carried your ass any more.",1,0,0
84,663,In the meantime normal throughout Germany,0,0,1
85,589,Sign the second half of the paragraph to 100 percent! I don't think the first sentence is so nice :-),0,1,0
86,2960,Who complains here .see only the four whining where.,0,0,0
87,2451,"I do it in concrete terms. - Example Hamburg On 27.03.2019 in Hamburg, in the hospital to the Holy Spirit, the SPD mayor Tschenscher, successor of the SPD champion Olaf Scholz was a guest. He said: ""It has gone a bit wrong for the last 20 years."" Hello?! - The last 20 years the SPD ruled in Hamburg almost without exception. The last 20 years the SPD ruled in the federation almost without exception. In Hamburg, the SPD not only led a coalition. The SPD sometimes even ruled with an absolute majority. - Keyword: ""King Olaf"". And who invites the public-force-funded television as representative of responsible figures of political framework conditions? Who can present himself again? - Now as an actor in the role: We understood and do what. - The citizen has a right to it ... It has gone a bit wrong the last 20 years. It has been 20 years in Hamburg, and in the federation the SPD in re-agating responsibility. And there, too, my conviction for public-forced selection massively financializing the consumption of the media is offered here.",1,1,1
88,917,"@MEDIUM , yes, but Mrs. Barley's arrogant grin was not externality, but it made it clear that she was conducting a private campaign of revenge against brokers.",1,0,1
89,1897,@USER my words .....Bravo !,0,1,0
90,2671,@USER .haha there you can wait a long time. @USER,0,0,0
