,comment_id,comment_text,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
0,335,"El alemán es, qua ley, quien tiene la ciudadanía alemana. Es adquisible. Si uno se siente alemán es otro asunto. Probablemente hay más formas de ser alemán que las personas con nacionalidad alemana.",0,0,1
1,186,"@USER bien, teniendo en cuenta lo caro que esta ciudad se ha vuelto a través de los campesinos, diría que esto no es tan cierto. Además, el sur de Alemania ha sido capaz de obtener más, durante mucho tiempo, de la LFA y de construir las estructuras de prosperidad actuales. Ningún país federal se ha beneficiado más de las subvenciones que Baviera, seguido por NRW. Así que sigue siendo bueno con vuestros culos dahoam.",1,1,1
2,1445,"En Austria, sin embargo, los alemanes o los europeos deben ser demasiado caros como modelos de entrada de 20000 euros.",0,0,1
3,1599,"@USER Con una joven con confianza, sí, ¡con un ARROGANTE, no!",1,0,0
4,1971,"Este hombre debería ser ministro, ya que sabe algo de la materia.",0,1,0
5,96,@USER está parado sólo los de arriba que dejan subir sólo a los suyos y se aseguran de que los de abajo también se queden abajo.,1,0,1
6,971,@USER Eso es exactamente lo que debería prohibirse.,0,0,0
7,215,@USER una pequeña pregunta. ¿Te fue mejor o peor antes de los refugiados?,0,0,0
8,1451,la imprime un Gschill en Alemania así que no hay centrales nucleares en la República Checa y Eslovaquia van a la red...Mochovcze...,0,0,1
9,974,@USER que pueden hacer esto mejor que la basura él senado .... divertido,0,0,0
10,237,"@USER, no, está mal que casi el 50% de todos los crímenes de capital sean cometidos por migrantes. Hablamos de cifras de asesinatos relativamente constantes. Desde 2015, las cifras de los migrantes han aumentado considerablemente. Sin embargo, la tasa de homicidios ha permanecido bastante constante. ¿Cómo explicarías que desde 2015 el número de asesinos alemanes debería haber disminuido de forma extrema para aumentar el número de asesinos de origen inmigrante de tal manera que al final haya una tasa de homicidio similar? Además, en los últimos años se han producido más consumos debido a dos asesinos en masa alemanes. Uno era Andreas, el otro era Nils...",0,1,1
11,1122,Yay... el bashing de los hombres va a la siguiente ronda. ¿Puedo reclamar el estatus de víctima ahora?,1,0,0
12,2795,¿Realmente crees que @USER?,0,0,0
13,2848,Los que son escandinavos por los fascistas izquierdistas carecen ante todo de educación política e histórica y son incapaces de participar en el debate.,1,0,0
14,1620,"Miles de personas traicionaron, ganaron 11 mil millones y ahora hablan de lo que es común, y claramente dice que puede sacar todo lo que pueda del gobierno, y no sólo hay la posibilidad de eautos.",1,0,1
15,1,"Bastante triste para leer estos comentarios. Aunque podéis mentir que no existe el cambio climático creado por el hombre, no se puede mentir a la naturaleza. ¿Cuántas personas tienen que perder sus medios de vida debido al cambio climático, o incluso morir, hasta que habéis reconocido la gravedad de la situación?",0,0,0
16,809,Quienes financian millones de refugiados sin derecho a permanecer en el país con el dinero de los contribuyentes. ¿Hay apartamentos de inmediato .no es de extrañar si faltan apartamentos! Se construye! Ejemplo Tübingen 1000 viviendas pero sólo exclusiva para los refugiados..los alemanes que buscan un apartamento no pueden mudarse hasta dentro de 10 años.,0,1,1
17,2179,¿Cuánto os queda?,0,0,0
18,757,"Si no lo hubieras vendido, habría sido mejor.",0,0,1
19,3049,¡@USER sí lo es! @USER @USER se refirió a la respuesta del WDR!,0,1,0
20,1707,"@USER en sí mismo, en parte se discute emocionalmente.Eso ya tiene algo de, la humanidad tiene derecho a tus órganos, -esto no es posible.",0,0,1
21,1121,@USER se trata de las posibles razones que se mencionan.,0,0,0
22,1164,@MEDIUM Hola colgado.?,1,0,0
23,2091,"Es genial que tengas la oportunidad de crear una propiedad, pero no tienes por qué preocuparte por el problema, porque la mayoría no tiene la posibilidad de obtener un préstamo para una casa. A partir de tus comentarios, ya está claro que no puedes hacer frente al problema.",0,1,1
24,1544,"Creo que es aterrador cómo ""@MEDIUM"" intenta moderar la opinión que se refiere al Sr. Lanz.",1,0,0
25,1166,"¿Dónde están los ciudadanos normales, los trabajadores, los aprendices, etc. a partir de entonces, la igualdad de trato no debe aplicarse en los niveles superiores... la facción de la campana de oro..",1,0,0
26,2128,"@MEDIUM Querida Redacción, ""Querida Ronny Paemann,"" ¿qué estás escribiendo?",1,1,0
27,2927,"@USER, usted no parece haber comprendido el valor central de una democracia, el reconocimiento de la equivalencia de todas las personas, por lo que quien ataca este valor central tan agresivo como el AfD debe esperar una firme resistencia democrática.",0,1,1
28,408,¡El mismo derecho para todos!,0,0,0
29,3074,@USER uno debería dejar en público a esos monstruos que también violan a Kurt Tucholsky. ¿Qué más tiene que hacer el Sr. @MODERATOR para complacer a sus invitados?,0,1,0
30,1432,@USER Cognac salir de las tazas de café alemanas. Y saludar a sus 5 hijos!,1,0,0
31,2844,"Mehmet Daimagüler está invitado y, como abogado, se asegurará de que también se diseñe a los jóvenes amantes del odio que se desplacen a través de Twitter.",0,0,0
32,1502,"Sin CO2, no hay fotosíntesis.",0,0,1
33,3168,"@MEDIUM .liees @MEDIUM Team. Espere a que los Verdes gobiernen. Entonces, oigan y vean .Y sobre el tema E Autos .Se evaporan 2 millones de litros de agua para producir un tono de silicio. Y E Autos quieren los Verdes y el resto del gobierno. Necesitan más ejemplos.Los fondos verdes también cobran sin estar presentes en una conferencia. Firman la lista de asistencia y vuelven a salir de la fuente de varios programas de televisión",1,1,1
34,2021,"¡La primera ministra May puede acabar con el escándalo! ¡Sólo retira la petición de salida y luego dimite! En GB, ¡necesita la aprobación del Parlamento para ello!",0,1,1
35,3169,@MEDIUM .Lo mejor es la risa heménica de los verdes.,1,0,0
36,1760,"Así que si no tienes una tarjeta, no importa por qué, tal vez simplemente no eras lo suficientemente rápido o si no se encuentra una tarjeta, estás regalando automáticamente. No creo que sea correcto. De hecho, mis órganos son automáticamente míos y esto incluso después de mi muerte",1,1,0
37,500,"@USER Ah, sí: ""Heimat es el país en el que nací. "" Si realmente fue a una universidad politécnica, probablemente nació en la RDA, ¿verdad?",0,0,0
38,2776,@USER va a encender bastante indexado,0,0,0
39,936,"@USER Tu comentario encaja perfectamente en la categoría ""Si no tienes ni idea.""",1,0,0
40,703,"Porque esto no es necesariamente tan fácil. Intenta cuando vives en el campo para trabajar por turnos cuando no puedes pagar un coche, o cuando dependes de Internet por trabajo. El país es más atractivo y ""habitable"" u haría más dinero y tiempo, por lo que ""recomprimir"" en la gran ciudad es el primer alivio de la mejor manera. Y, como dicen los propietarios de la propiedad son el problema. Podrías vivir barato en la ciudad a menudo como en Kiel hay bastantes viviendas libres. Pero todos en la mano de Vonovia, residencias alemanas y otros paquetes y gustes, lo que se hincha y hunde en la bolsa.",1,1,1
41,366,Ahora más aún...,0,0,0
42,2185,"@USER en este comentario, nadie tiene que venderte por tonterías. ¡Puedes hacerlo tú solo!",1,1,0
43,579,"Ingrid Hitz, tu competencia para leer deja mucho que desear, soy alemán, y Neo-Eugenia es una mierda, por qué no tengo que explicarte.",0,0,1
44,1948,"@USER Si usted confunde la secta con el pensamiento del bien común, entonces tal vez! Que no me tome en serio a personas que son puramente materiales, estoy acostumbrado. No es nada nuevo. Por lo tanto, hoy también tenemos el mundo que tenemos! Todas estas personas están en el camino de sí mismas, que quieren un mundo mejor, pero van sobre los cadáveres.",0,0,0
45,364,Es mejor vivir en el pueblo que hablar como este.,1,0,0
46,2642,"Los Verdes deben decir quién va a financiar todo esto, es fácil, el contribuyente con 1500€ netos al mes en Berlín.",0,0,0
47,2540,"No estamos de acuerdo con eso. FfF es para mí halligalli. No hablan de ningún tipo de partidos condenados, sino que son elegidos, y la última elección ha arrojado un 8% de verde al Bundestag. Vamos a dejar la iglesia en el pueblo.",0,0,1
48,1968,"@MEDIUM he conocido una vida en la que el egoísmo tiene prioridad. La gente se sirve de manera desmesurada, toma más de lo que necesitan y no es precisamente su fuerza. Precisamente en este área sensible no encuentro una brújula moral. Si alguien quiere donar sus órganos, creo que es muy honorable. Sin embargo, cuando pienso que una persona que se dedica a enriquecerse a sí misma y a su misma vida durante toda su vida, quiere pasar por alto todo y también hace, las mismas oportunidades tienen que continuar su vida a costa de otros como una persona que siempre está ahí para otros. Como he dicho, no confío en el asado y quizás también pienso en las operaciones inútiles que pueden tener lugar cuando hay suficientes órganos disponibles. Lo que para mí tampoco es compatible es que casi 200 personas que sufren la muerte a pesar de la sentencia de la justicia estén esperando a su rescate. Como he dicho, no es suficiente para ir una vez por la semana a la iglesia y vivir en la otra parte.",0,1,1
49,321,"Si leo algunos comentarios aquí, debo decir que lo que el país parece faltar no es pensamiento nacional, sino educación.",1,0,0
50,750,"Werner @USER, ¿qué tal un argumento en contra? Por cierto, ¿puedo probar mi pequeña ejecución sobre la base de pruebas científicas, si lo desea!?",0,1,1
51,3008,"Lo que ustedes tienen sobre las ideas autoritarias, antidemocráticas y anticonstitucionales de la libertad de prensa me asusta, pero no me interesa mucho como demócrata. Si tienen un problema con el art. 5GG, les recomiendo la putinocracia.",0,0,0
