,comment_text,hf
0,الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح,1
1,صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعية واعادة توزيع ديموغرافي بسوريا,0
2,و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و… ,0
3,وليد جنبلاط كاتب الحكمة يا قذر ,1
4,شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,1
5,يا جبران باسيل يا معلم يا ريس يا استاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير,0
6,ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص,1
7,نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر ,0
8,صافي يا بقر,1
9,لا تعتب عليه هيدا اسمه ابو صرماي ,1
10,لو الدولة تحترم نفسها كان انت يالبلطجي في السجن ,1
11,مش عم يناموا الليل ليقدمولنا حكومة      ,0
12,يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا,1
13,هل تعرف مامعنى أن تدفع دولة نص مليار دولار لدولة أخرى مترنحة إقتصادياً وكانت تستطيع أن تستثمرهم… ,0
14,قنبلة ذزية يروحو فيها الاثنين معا افضل حل ,1
15,مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك ,0
16,لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف ,0
17,أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,0
18,يستاهلوا ,0
19,لا شرطي روسي يا ابن الستين كلب,1
20,في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدولة البراميلية بذبح الأطفال والنساء بالسكاكين وحرق بعضهم أحياء في بانياس لم…,0
21,ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… ,1
22,هيئتك يا ويئو اكل سمك ومتقل الليلة لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد ,0
23,فضح الفاسدين مسؤولية كل مواطن شريف ,0
24,متظاهر افريقي في باريس يقول يعيش بشار الأسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا ,0
25,الامير طلال حبيب قلبنا وبيمون عأكتر من هيك ,0
26,نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه,1
27,ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال… ,0
28,هلق شو على مين انضغط منشان تشكيل الحكومة,0
29,علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد ,0
30,هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل  ,0
31,يا عيب لشوم عليك يا كركوز ,1
32,لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس… ,0
33,سمج سميك زنخ كمخة,1
34,هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة ,0
35,عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة ,1
36,نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم ,1
37,يسعد صباحك معالي الوزير ,0
38,قليل بحقه الحذاء ,1
39,كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,1
40,انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة ,1
41,جبران باسيل رجل شرّير,1
42,عاهر بكلامو بس معلمك شو        ,1
43,أنا بس شوف نديم و أمثالو كيف بيحكو عن جبران باسيل بتأكّد أكتر انو جبران باسيل عم يشتغل صحّ,0
44,كان الله بعونك وبعون الي دافع عنك ,0
45,بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،…,0
46,نحن نثق بال قضاء اللبناني ,0
47,بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,0
48,عقبال يغرقوا التنين بالمجارير,1
49,درس فى التاريخ ,0
50,انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…,1
51,بلبنان منخبر ومنقول الحقائق كما هي لا أعتقد أن عمليات الإغتيال قامت بها الدولة أو ج…,0
52,كول هوا ابو وجهك,1
53,بربحك جميل من كيسك انو ناوي يعمل شغلو,0
54,عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂,1
55,آلوزير جبران باسيل وزير لبناني فقط لا غير,0
56,بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب…,1
57,وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان ,0
58,كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق … ,1
59,اكل الهوى للواطي دواء الله يشفيك ,1
60,لا كل الثواار كلاب متل النظام هيك جملة سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف؟,1
61,اباقاش تسكت وله ، اسكت يا قرد العقاب لوهاب وهاب قاتل ابو دياب ,1
62,للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف ,1
63,سوف تبقى سوريه وفية ومنتصره رغم كل الاوجاع وتبقى صامده في وجه الاعداء سوريا التي حاربت كل الدول العرب… ,0
64,على الرحب يا جماعة السدس   ,0
65,مهما تستأجر أشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه… ,0
66,وقت تشوفوا و تسمعوا جبران باسيل متل لما الشيطان يسمع كلام الإنجيل,1
67,كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيي… ,0
68,أذا جبران باسيل يقودكم والجاهل شيخ الجاهلية يصفق للقرد       اكيد بيكون ي…,1
69,أحقر جريدة بل الوجود,1
70,رزق الهبل عالمجانين آه يا هبيلة ,1
