,comment_text,hf
0,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,1
1,@user @user @user bah oui t'as raison l'autre c'est un mongol.,1
2,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,1
3,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,0
4,eh les renois faut se réveiller la @url,0
5,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,1
6,@user sjw et féministe twitter un sale combo,0
7,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,0
8,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,1
9,c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,1
10,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,1
11,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,0
12,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,1
13,@user @user @user alors pas du tous toi tu es vraiment attardé,1
14,@user sale arabe ( arrête avec tes hontes toi ),1
15,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,1
16,@user ohhh la violence je meuuurs,0
17,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,1
18,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,1
19,glik tu es un gros mongol,1
20,@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,1
21,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,1
22,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,1
23,@user t’a vu gl dirait un attardé...,1
24,forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,1
