,comment_text,hf
0,"@corinnamilborn Liebe Corinna, wir würden dich gerne als Moderatorin für uns gewinnen! Wärst du begeisterbar?",0
1,"@Martin28a Sie haben ja auch Recht. Unser Tweet war etwas missverständlich. Dass das BVerfG Sachleistungen nicht ausschließt, kritisieren wir.",0
2,@ahrens_theo fröhlicher gruß aus der schönsten stadt der welt theo ⚓️,0
3,@dushanwegner Amis hätten alles und jeden gewählt...nur Hillary wollten sie nicht und eine Fortsetzung von Obama-Politik erst recht nicht..!,0
4,@spdde kein verläßlicher Verhandlungspartner. Nachkarteln nach den Sondierzngsgesprächen - schickt diese Stümper #SPD in die Versenkung.,1
5,"@Dirki_M Ja, aber wo widersprechen die Zahlen denn denen, die im von uns verlinkten Artikel stehen? In unserem Tweet geht es rein um subs. Geschützte. 2017 ist der gesamte Familiennachzug im Vergleich zu 2016 - die Zahlen, die Hr. Brandner bemüht - übrigens leicht rückläufig gewesen.",0
6,@milenahanm 33 bis 45 habe ich noch gar nicht gelebt und es geht mir am Arsch vorbei was in dieser Zeit geschehen ist. Ich lebe im heute und jetzt und nicht in der Vergangenheit.,1
7,@jayxderxmensch @jayxthexhuman Wieso? Was findest du da unklar?,0
8,@tagesschau Euere AfD Hetze wirkt. Da könnt ihr stolz sein bei #ARD-Fernsehen,1
9,"Deutsche Medien, Halbwahrheiten und einseitige Betrachtung, wie bei allen vom Staat finanzierten ""billigen"" Propagandainstitutionen 😜",1
10,@AJCBerlin @AuswaertigesAmt Er hat heute morgen auch Schäuble getroffen. Das ist einfach nur unfassbar,0
11,@Ralf_Stegner Oman Ralle..dich mag ja immer noch keiner. Du willst das die Hetze gegen dich aufhört? |LBR| Geh in Rente und verzichte auf die 1/2deiner Pension,1
12,"Klausurtagung der CSU hat eher Fragezeichen vermehrt, ob Union die Kraft hat, die erforderlichen Veränderungen von Europa bis Digitalisierung, bei Arbeit und Rente, bei Bildung und Familie, bei Gesundheit und Wohnen, bei Pflege und Steuern, bei Integration etc. anzugehen.",0
13,"Den Türken ist die Souveränität der Niederlande egal. Sie wollen dort |LBR| bestimmen. So geht das nicht. Ausweisen, wem das nicht passt.",0
14,"@L7250402 @RGutmensch Auweia. Es geht nicht darum, dass man uns ""toll"" finden muss. Aber man könnte zumindest versuchen zu verstehen, was wir machen und wie wir das finanzieren, bevor man einfach falsche Schlussfolgerungen zieht und diese schamlos verbreitet. Schafft aber scheinbar nicht jeder.",0
15,"@DietmarBartsch @DJanecek Na, geht doch. Jetzt muss noch @SWagenknecht in einer Nachtsitzung Angela Merkel die Obergrenze abhandeln, dann kann Schwarz-Grün-Dunkelrot noch vor Weihnachten die Amtseide ablegen.",0
16,"Für mich ist der morgige Tag ein Tag der ""Größten Deutschen Schweinerei"" seit 1945, eine riesen Mogelpackung bekloppter Politiker🤢",1
17,@SteinbachErika Das lassen die 🇩🇪 nicht zu....und wenn sie gegen ihren eigenen Willen festgehalten werden... |LBR| Es ist leicht nach 🇩🇪einzureisen...aber raus?,0
18,"@Steinhoefel Ich finde deutsche haben noch eine Chance verdient...auch wenn ich ein Teil meiner Landsleute nicht besonders mag, aber sie sollten nochmals wählen dürfen...!",0
19,"#Dieselgipfel: Automobilindustrie muss Schadstoffe reduzieren – schnell, gesetzestreu, technisch sauber und transparent nachvollziehbar (2)",0
20,@peter2018huber @YouTube Das sitzt die doch aus - Teflon-Merkel ist ihr Spitzname in der Schweiz - an der prallt alles ab.,0
21,@Beutebadener @LeggaKnoppers @KotzenderStern Was laberst du jetzt von.inzucht schau mal an was dein schönes multikulti mit Deutschland gemacht hat,0
22,@JensMeding Hast Du schon das Initiationritual hinter Dir?,0
23,Diese Woche hatten wir die Gelegenheit uns mit 4 kurdischen Bürgermeister*innen der HDP zu vernetzen! @LeylaImret @coban95,0
24,"@DasErste Danke für die schnelle Info , aber eure Unterschlagungen von wichtigen Nachrichten in der Tagesschau machen euch zum Helfer von Terroristen in Deutschland.Bürger in Sicherheit wiegen die nicht vorhanden ist!",0
25,Du sollst keinen anderen Gott haben neben mir. Mal schauen wann Gottes Worte als Rassismus dargestellt werden.,0
26,@krippmarie Ich kenne noch einige Namen unter den SPDler die ebenfalls zu Grabe getragen müssten-sollten-werden....,1
27,Wir geben unsere Identität nicht auf. Bedenke das Ende bei all dieser Beliebigkeit. #islamfeiertag,0
28,@StephanJBauer @soskinderdorf Auch in Deutschland hungern Kinder.,0
29,"@5junx Und hätten wir regiert und alle Zusagen gebrochen, dann wäre hier heute von Umfallen und Postengeilheit die Rede gewesen! 😂 #Beliebigkeit CL",0
30,#Trump ist als Politiker kein Schwätzer sondern handelt vom ersten Tag an. |LBR| Und geopolitisches Denken des letzten Jahrhunderts ist ihm fremd,0
31,"In Abwandlung der Kanzler Worte sage ich: |LBR| CDU SPD-folgt diesen Leuten nicht, sie regieren schon immer und die Armutschere ist größer denn je",0
32,"@ndaktuell Ach Gott mehr nicht,was gedenkt man dagegen zutun,nach dem GG dürfen nur Deutsche Staatsbürger protestieren .Was hier geschehen ist ,ist ein Aufstand von Radikalen Moslems ,da sage ich nur einsammeln und Heimschicken!",1
33,Die Zahl arabischer Rekruten in der israelischen Armee steigt rasant. Die @BBC hat eine Dokumentation über sie gedreht. #Israel @BBCArabic,0
34,"@WWF_Deutschland Kein Kohleausstieg,wenn dadurch unsichere Atomenergie aus dem Ausland importiert werden muss.Unsere sicheren Atomkraftwerke werden abgeschaltet und unsichere im Ausland gebaut.Auch die Winkrafträder sind nur eine Verschandelung der Natur.Das Ausland lacht.",0
35,@krippmarie Die Deutschen checken es einfach nicht,0
36,@ShakRiet @Heinrich_Krug So ist es....wir haben Maria vergessen...als hätte sie nie existiert....schämt euch...!,0
37,"@hortarimar @Georg_Pazderski Dann können wir vielleicht eine konstruktive Diskussion führen. Wenn Sie mit Unterstellungen arbeiten, dann wird das nicht möglich sein. Wir laden Sie zu einem virtuellen türkischen Tee ein.",0
38,"@LgJohnSilver Höchste Zeit und in gemeinsamer internationaler Kraftanstrengung, sowie gebotener Härte.",0
39,@Uwe_Junge_MdL @krippmarie Die Deppen der Nation....Österreicher lachen am lautesten....😃😃,0
40,"@pinselpoetin Ich lernte im Jurastud. noch,dass d. Täter nicht therapierbar sind,was d. Praxis meistens beweist. Ewig aus dem Verkehr ziehen",0
41,@BlauekeP @poschuetzge @lawyerberlin @Die_Gruenen @fdp Hubertus....was hab ich mit Adolf zu tun? |LBR| Und ich erstarre bei beim Wort Nazi auch nicht in Schuldgefühlen wie der Rest nur weil ich🇩🇪liebe,1
42,@Einzelfallinfos @Carolin94815291 Das ist in Deutschland nicht strafbar...nur wenn deutsche Diebstähle begehen dann ist es anders...,0
43,"@monikabergholz2 Wir haben keine Meinungsfreiheit ,von wem soll die auch kommen wenn man eine in der DDR ausgebildete Bundeskanzlerin hat .Mielke hätte sich totgelacht.Ich glaube am Grab hört man in 🎉",1
44,@Einzelfallinfos @FfFrauki Wir sind nunmal Weltmeister...in Aufarbeitung....aber endlose Pfeifen in Vorkehrungen. |LBR| Ich halte alle Politiker für Helfershelfer....sie gehören auf die Anklagebank und nicht in überbezahlten Ruhestand...! |LBR| @AfD .....,0
45,@Nils_puels @marcobuelow ich glaube wirklich das ein mitgliederentscheid die partei eint 👍,0
46,"@ulfposh Doch nicht nur die Planeten! Es geht um das Leben, das Universum und den ganzen Rest. |LBR| Ich muss jetzt los, die Milchstraße retten.",0
47,Infotweet: Antifaschisten sind alle vernachlässigte Scheidungskinder,1
48,Was machte Luther eigentlich an einem Brückentag? Und was würde er heute über die Türken und die Juden sagen? |LBR| #Reformation_neu_denken!,0
49,@MartinaRenner @dieLinke Und die Linken Anarchisten üben in Hamburg 👊🔥,1
50,Zur Eröffnung der #Israelpedia sind unsere Gedanken bei den Menschen in Israel |LBR| #DIG #Frankfurt #Israel,0
51,@gerdm4863 Das ist einfach so...aber noch lange kein Grund Deutschland mit fremden Männern zu fluten....,1
52,@Ami66Stefan Juden und Christen werden als Schweine und Affen bezeichnet.. Aber das steht ja nur im Koran. Die Suren erspare ich mir jetzt. Lesen.....,1
53,@anna_IIna Kann man diesen ganzen Scheiß noch glauben..?,1
54,@welt Bla bla bla! Lügenpresse verkauft uns mal wider für Dumm! Alles gespieltes Theater!!,1
55,@OnlineMagazin Das kann doch nur ein Fake sein !!! Die sind sowenig DEUTSCH wie Erdogan ! Nu gehts wirklich los ! Auch im TV der MSM nur noch NICHTDEUTSCHE ! 🤬🤬🤬☠️☠️☠️🤬🤬🤬,1
56,"Afghanistan ist ein sicheres Land, wenn Deutschland, England u. |LBR| Frankreich als sicher bezeichnet werden. Leider gab es Anschläge.",0
57,"#illner Das Söder nun auf #AfD Programm macht und die Wahrheit ausspricht,welche nur bei der AfD rassistisch und polemisch,bei Söder aber ""bürgernahe Erkenntnis"" ist,scheint #87Prozent überhaupt nicht zu stören. |LBR| Ja...so sind sie.Die Heuchler und Doppelmoraler.",1
58,"@Regendelfin Sind selbst Schuld die Dummen Girlies die unbedingt Modell werden wollen,",1
59,@NorgePrivacy @krippmarie Spätestens seit Blümchen wissen wir welche Waschlappen in der Regierung sitzen....😃😃,1
60,ja das ist was Kinder so aufem kindergartenspielplatz so anstellen und daraus ist der glaube der Moslems endstanden.,1
61,"7 Tage Ferienfreizeit mit polnischen Kindern u. Jugendlichen. Sie erinnerten mich daran, was es heißt, stolz auf sein Land zu sein 😜",0
62,"Wir sind entsetzt von der Vielzahl menschenverachtender, stigmatisierender und rassistischer Kommentare unter unserer Berichterstattung zur heutigen Kundgebung. Strafrechtlich potentiell relevante Äußerungen werden dokumentiert und ggf. zur Anzeige gebracht. #berlin #jerusalem",0
63,@Miquwarchar Hat die jemand dafür angezeigt?,0
64,"Merkel: ""Die Bürger haben keine Lust auf Zuständigkeitsdebatten"" ??? Eben ein verlogenes Miststück mit ausreichender Denunziantenerfahrung😜",1
65,"@fneuhann @fdp Welche Warnung? Ich lese es als Unterstützung unseres Kurses! Es gibt keinen Satz im Text, der diesem widerspricht. CL",0
66,@welt Abschieben es sind doch nur Moslems!!,1
67,Jeder dem Deutschland am Herzen liegt soll AFD wählen,0
68,"@PolizeiBerlin_E Jeder der hier die Polizei schlecht macht, oder verbal angreift, sollte wissen das sie jedesmal für eine falsche Toleranz Politik unserer Regierung den Kopf hin halten. Jeder Polizist möchte nach getaner Arbeit auch gerne unversehrt zu seiner Familie nach hause gehen können.",0
69,"Änderungsantrag, dass §83 SGO komplett gestrichen wird, wird abgestimmt &amp; abgelehnt",0
70,"@hdBerretz Die Propaganda wirkt leider bei den Deutschen perfekt, da sie glauben der Onkel von der Tagesschau bringt echte NACHrichten",0
71,@Hartes_Geld Bayern sollte auch aus Deutschland austreten,0
72,"@renomarky @RussiaConnects @SenJohnMcCain McCain erwies sich bisher generell als mit Haut überzogener, verlogener politischer Dreckshaufen",1
73,Was heißt hier Flüchtlingseinrichtungen? Die meisten der jungen |LBR| Männer sind keine Flüchtlinge. Sie sind rücksichtslose Invasoren.,1
74,@Sammy_aus_Cux Von mir aus gibt es dieses intersexuell aber die eigentlichen Geschlechter sind männlein und weiblein,1
75,"@cuffedCatling zu einem anderen Ergebnis kam. Vielleicht erschien ihr (der Community) der Kontext klarer, keine Ahnung.",0
76,Auch durch eure Zensur in Deutschland werdet ihr nichts ändern. Wie sehr in Deutschland zensiert wird kann ich hier im Ausland sehr gut erkennen. |LBR| #illner,0
77,"Merkel: ""Ich sehe nicht, was wir anders machen sollten"" &gt; Wie HOHL muss man eigentlich sein, um NICHTS zu begreifen Frau Murksel 🤢",1
78,@brosel_werner @InesHenkler Ich spreche ausschließlich von mir 😜,0
79,@FroehlichKaiT So früh waren die schon auf?! Was haben die vor?  Sorgen!!!,0
80,"@kein_gutmensch @Renft1964 @focusonline Dann solltet ihr Grünes Pack, eure Bodygards verdoppeln!",1
81,"Gestern wieder bis kurz vor Mitternacht im Konrad-Adenauer-Haus der CDU mit der Union. |LBR| Heute steht der letzte Tag der Sondierungsgespräche im heimischen Willy-Brandt-Haus bevor. |LBR| Die Intensität nimmt zu und seit Günter Grass wissen wir, dass der Fortschritt eine Schnecke ist.",0
82,@dieter_wolfgang @loriotfehlt Im Harz schmeckt es Weltklasse.  Da fülle ich mir immer hunderte Flaschen ab. 😘,0
83,Bayern = Sicherheitsland Nummer 1 - Sicherheit durch Stärke. #TVDuell,0
84,"Ich bin Katholik und ich bin mir felsenfest sicher, dass dies nicht die Meinung der überwältigenden Mehrheit der Christen in Deutschland ist",0
85,@MiriamOzen @berni1173 @berlinwerbung Hab ich auch nicht verstanden :-),0
