,comment_text,Sub1_Toxic
0,Früher mal eine Nachrichtensendung -jetzt der Ar….. von Kim Kardashian mal eben ganz fluffig nach einem Beitrag zu einem terroristischen Anschlag gestern    .Interessante Entwicklung,1
1,"1/3tel abbauen, die anderen 2/3tel neu besetzen oder wieder wählen; einige besser nicht. Angefangen mit denen, die die Transparenzregeln nicht einhalten, die die durch Nebeneinkünfte auffallen und solche, die Steuergelder wider besseren Wissens verschwenden. Desweiteren sollten alle gehen, bei denen ein Anfangsverdacht für eine Straftat oder ein Dienstversäumnis besteht. Das wäre schon einmal ein guter Anfang.",0
2,"Jede/ r trägt in den Entscheidungen, die wie auch immer getroffen werden, eine eigene Verantwortung. Wir als Familie haben uns nach einer wochenlangen anstrengenden Auseinandersetz ung und Abwägen von Pro/ Contra entschlossen die Impfung zu machen . Im August sind wir alle komplett geimpft. Es war für jeden Einzelnen ein anstrengender Prozess , wir sind alle unterschiedliche Persönlichkeite n , aber was wirklich entscheidend gewesen ist : Wir sind eine Familie und wir tragen für einander Verantwortung. Gestern habe ich die zweite Impfung erhalten. Anstrengend, wirft viele Fragen in mir auf _ aber auch nach all diesen Monaten ein wenig Entlastung. Wie auch immer eure Entscheidungen sind: Habt Respekt füreinander.",0
3,"Wenn es um Gerechtigkeit geht, dann gibt es KEINE Priorisierung",0
4,"Ein einziges Chaos, weder Mut, noch Handlung, noch Kreativität. Verstaubte vollkaskoversic herte Politiker treffen Entscheidungen und ENTSCHULDIGEN sich dafür 🤮 schlimmer gehts nimmer ‼️ Ach und: UNBEDINGT den Lauterbach wieder einladen, das bringt doch jedes Mal wieder einen neuen Blickwinkel 🥶😡 Eine sehr, sehr mütende Bürgerin ‼️",1
5,All unsere Jungs sollen endlich nach Hause kommen. Was haben die ständig im Ausland zu suchen 😏,1
6,Längst überfällig,0
7,"Liebe Nutzer*innen, wie haben Sie die Diskussion erlebt? Wir freuen uns auf Ihre Kommentare und Anregungen.",0
8,Weder Söder noch Laschet haben die Eier in der Hose dieses Land zu führen.  KEINE STIMME für CDU/CSU sowie grüne und SPD. Die Politische Verarschung muss aufhören. Ausreden werden durch Wiederholungen und schlechter Krisenbewältigu ng immer mehr zur Belastung der Bürger. Lügen und Betrug zeigen die Gier derer die das Volk für doof verkaufen wollen,1
9,"Ein hervorragender, sehr vernünftiger Mann. Hat viele Dinge richtig erkannt.",0
10,Nicht nur reden seit Jahren sondern endlich machen.,0
