comment_id,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
3245,1,1,0
3246,0,1,1
3247,0,1,1
3248,1,0,0
3249,1,0,0
3250,1,0,0
3251,0,0,1
3252,0,0,0
3253,0,0,0
3254,0,1,1
3255,0,0,1
3256,0,0,1
3257,0,0,0
3258,1,1,0
3259,0,0,1
3260,0,0,0
3261,0,0,0
3262,0,0,0
3263,1,1,1
3264,0,0,0
3265,0,0,0
3266,1,0,0
3267,0,0,0
3268,0,0,0
3269,1,1,0
3270,0,1,1
3271,0,0,1
3272,0,1,0
3273,1,0,0
3274,0,0,0
3275,0,0,0
3276,0,0,0
3277,1,0,0
3278,0,1,1
3279,0,0,0
3280,0,1,1
3281,1,0,0
3282,0,0,0
3283,1,0,0
3284,0,0,1
3285,1,0,0
3286,1,1,0
3287,1,1,1
3288,0,1,1
3289,0,0,0
3290,0,0,1
3291,0,0,0
3292,0,0,0
3293,1,0,0
3294,1,1,0
3295,0,1,1
3296,1,0,0
3297,0,0,1
3298,0,0,0
3299,0,0,0
3300,0,1,0
3301,0,0,0
3302,1,1,1
3303,0,0,0
3304,0,1,1
3305,0,0,0
3306,0,0,0
3307,0,1,1
3308,0,0,0
3309,0,0,0
3310,0,0,1
3311,0,0,0
3312,0,1,0
3313,0,0,1
3314,1,0,0
3315,0,0,1
3316,0,0,1
3317,0,0,1
3318,0,0,0
3319,1,0,0
3320,1,0,1
3321,0,0,0
3322,0,0,0
3323,1,1,0
3324,0,1,0
3325,1,1,0
3326,0,1,0
3327,0,0,1
3328,0,0,1
3329,1,0,0
3330,1,1,1
3331,0,1,1
3332,0,0,0
3333,1,1,1
3334,0,0,0
3335,1,1,0
3336,0,1,1
3337,0,0,0
3338,1,0,0
3339,0,0,0
3340,0,0,1
3341,1,0,0
3342,0,1,1
3343,0,1,0
3344,0,0,1
3345,0,0,0
3346,0,0,0
3347,1,0,0
3348,0,0,1
3349,0,0,0
3350,0,1,1
3351,1,0,0
3352,1,0,1
3353,0,1,0
3354,0,0,0
3355,1,0,0
3356,0,0,1
3357,0,0,0
3358,0,0,1
3359,1,0,0
3360,1,0,0
3361,1,0,0
3362,0,1,0
3363,1,0,0
3364,0,0,0
3365,0,1,1
3366,1,0,0
3367,0,0,0
3368,0,1,1
3369,1,1,1
3370,1,0,0
3371,0,1,0
3372,1,0,0
3373,0,0,0
3374,0,1,0
3375,0,0,0
3376,1,0,0
3377,1,0,0
3378,0,0,0
3379,0,0,1
3380,0,0,0
3381,0,0,0
3382,1,0,0
3383,0,0,1
3384,1,0,0
3385,0,0,0
3386,1,0,0
3387,0,0,0
3388,0,0,1
3389,0,0,0
3390,0,0,1
3391,0,0,1
3392,0,1,1
3393,0,0,0
3394,0,1,1
3395,1,0,0
3396,0,0,0
3397,0,0,1
3398,0,0,1
3399,0,0,0
3400,0,1,0
3401,1,0,0
3402,0,0,0
3403,0,0,0
3404,1,0,0
3405,0,0,1
3406,0,0,1
3407,0,0,0
3408,0,0,0
3409,0,1,1
3410,1,0,0
3411,0,1,0
3412,1,1,1
3413,1,0,0
3414,1,0,0
3415,0,0,0
3416,0,0,0
3417,0,0,0
3418,0,0,0
3419,0,0,0
3420,0,0,0
3421,1,0,1
3422,0,0,0
3423,0,0,1
3424,1,0,0
3425,1,0,0
3426,1,1,0
3427,1,0,0
3428,1,1,1
3429,1,0,1
3430,0,1,0
3431,0,0,0
3432,0,0,0
3433,1,1,1
3434,1,0,0
3435,1,0,1
3436,0,0,0
3437,0,0,0
3438,0,0,0
3439,1,0,0
3440,1,1,1
3441,0,0,1
3442,0,0,0
3443,1,0,0
3444,0,0,0
3445,0,0,0
3446,0,0,0
3447,1,0,0
3448,1,0,0
3449,1,0,1
3450,1,0,0
3451,0,0,0
3452,0,1,1
3453,0,0,1
3454,0,0,1
3455,0,0,1
3456,0,0,0
3457,0,0,0
3458,0,0,0
3459,0,0,0
3460,1,1,1
3461,0,0,1
3462,0,0,0
3463,1,0,0
3464,1,0,0
3465,0,0,0
3466,1,1,1
3467,0,0,0
3468,1,0,1
3469,1,0,0
3470,1,1,1
3471,1,1,1
3472,0,0,0
3473,0,0,0
3474,0,1,1
3475,0,0,0
3476,0,0,0
3477,0,0,0
3478,0,0,1
3479,0,1,0
3480,0,1,0
3481,0,1,1
3482,0,0,0
3483,0,0,0
3484,1,0,0
3485,0,0,0
3486,1,0,0
3487,1,0,0
3488,0,0,1
3489,0,0,0
3490,0,0,0
3491,1,0,1
3492,0,0,0
3493,1,0,0
3494,0,0,0
3495,1,1,0
3496,0,1,0
3497,1,0,1
3498,0,0,0
3499,0,1,1
3500,0,0,1
3501,0,0,0
