,comment_text,hf
0,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",1
1,Che noia questi islamici che inseriscono in ogni luogo il loro profeta!,1
2,L'islam compie atti estremisti. Gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo.,1
3,Islam purpose is only the conquest.,1
4,"Muslim women are silent with their veil, it is normal that they are discriminated against.",1
5,Les musulmans sont tous violents.,1
6,"Quand il y a un crime, musulmans sont à blâmer.",1
7,"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.",1
8,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",1
9,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),1
10,"It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.",1
11,L'islam est une religion sombre.,1
12,Je ne veux pas de musulmans dans notre pays.,1
13,"""l'islamophobie"" c'est un moyen de nous retirer notre liberté d'expression.",1
14,One of many Pakistani rapist.we should extradite them from our country.,1
15,They should open the mosques at their homes.,1
16,Muslims are weak-minded.,1
17,I think that Ramadam will not prevent Muslims from committing terrorist attacks and sexual violence on our children.,1
18,L'islamophobie est interdite par les musulmans.,1
19,"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.",1
20,I musulmani in breve tempo ci obbligheranno a seguire la loro religione e voglio proprio immaginare quelle donne anticonformiste che li difendevano portare il velo!,1
21,"If white British men were raping muslim girls, they would be already in jail or murdered. Why double standards and privileges for Muslims?",1
22,Gli islamici tra pochi anni ci imporranno il loro credo e voglio proprio vedere tutte quelle buoniste radical-chic che indosseranno il velo!,1
23,"It's a shame that there is no longer the crucifix in school, a lack of respect.",1
24,What have Muslims ever done for us?,1
25,È' in atto una vera e propria invasione islamica.,1
26,We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,1
27,Islamics always lie and take advantage of everything.,1
28,Our western civilisation risks to be destroyed by islam.,1
29,They must pray on the street or they do this only to annoy us non-Muslims?,1
30,"Gli islamici vogliono che ci adeguiamo alla loro alimentazione costringendoci a mangiare il cous cous, per esempio. Io voglio che i miei figli possano mangiare la carne di maiale che ritengo un alimento importante.",1
31,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",1
32,If someone wrote the Koran to the present day it would not be allowed.,1
33,Muslims must go to hell! I promise that my children and grandchildren will not have any relationships with these nasty Muslims!,1
34,"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground.",1
35,"Stop foreigners in Italy, they are all Muslims who threaten our cultural traditions, we must eliminate them!",1
36,"Gli islamici porteranno nuove malattie e carestie nelle nostre nazioni, sarà come ritornare al medioevo.",1
37,Il n'y a pas de place pour les musulmans.,1
38,"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values.",1
39,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.",1
40,Muslims have invaded our country.,1
41,Les musulmans changent la vie en europe.,1
42,(en réagissant à une attaque terroriste:) bien sûr encore un blond aux yeux bleus qui s'appelle édouard.,1
43,Islam is barbaric.,1
44,Muslims are all the same.,1
45,Combatteremo. Voi arretrati non l'avrete vinta.,1
46,Islam is a disease that infects our planet.,1
47,"A recent poll from yougov indicate that westeners do not consider Islam as good as other religions, and for this fact Islam is unsuitable with western values.",1
48,The beasts.,1
49,Ci faranno saltare in aria tutti pur di costringerci alla loro fede.,1
50,L'islam est contre les valeurs européennes.,1
51,Le voile représente l'humeur politique des musulmans.,1
52,"Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.",1
53,Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,1
54,Have Muslims done something useful for us?,1
55,Islam - Silence is tacit acceptance. Raise your voice before it is too late!,1
56,They will blow up all of us in order to force us to their faith.,1
57,"Mohammed married a child, he was a pedophile!",1
58,Non voglio stringere dei rapporti con gli islamici! Sono solo degli estremisti omicidi e spetta a noi contrastarli!,1
59,The Muslims are all fanatics and want to rule in our home!,1
60,"We do not want to admit that islam isn't a religion, it is only a cult that support murder.",1
61,"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.",1
62,"The moderate Islam does not exist, Islam is Islam.",1
63,"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.",1
64,"Muslims should pray at home, because we do not want that they profess a non-native religion in a mosque. This buildings should be banned in our country.",1
65,L'ultimo baluardo che avremo sarà la bomba atomica.,1
66,"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",1
67,"Le moschee non vanno costruite, diventano luoghi di raduno per i fanatici.",1
68,Tutti i musulmani sono terroristi che vogliono dominare il nostro paese.,1
69,"I think they pray in public only to make us infidels angry, not because it is a fundamental principle of Islam.",1
70,Le voile est contraire à la laïcité.,1
71,Muori islamico.,1
72,Somalian immigrants claimed raping to be a part of their culture! We should deport them all!,1
73,Islam cannot get along with science because is illogical.,1
74,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",1
75,They impose us their culture.,1
76,Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,1
77,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,1
