,Unnamed: 0,comment_text,Sub1_Toxic
1506,2309,"Anscheinend geht es nicht anders um der Profitgier einen Riegel vorzuschieben. Das gefällt hier einigen nicht. Aber wenn der Ottonormalverbraucher sich keine Wohnung mehr leisten kann , muss was passieren.",0
858,1302,@USER in China und manchen islamischen Ländern würde man mit solchen Aktionen vermutlich der Scharfrichter vorgeführt.,0
1528,2341,"@USER nicht ganz richtig die Aussage, wohl eher Wunschdenken",0
1425,2184,"@USER, Heuchler wäre das richtige Wort!",0
1706,24,"Ich finde es beängstigend, wie ""@MEDIUM"" versucht, Meinung, die sich auf Herrn Lanz bezieht, zu (sagen wir mal) ""moderieren.",1
831,1258,"@MEDIUM ich habe dies in meiner Stadt bereits versucht und erhielt von der Staatsanwaltschaft Ablehnungen. Auch das Wohnungsamt zeigt kein Interesse. Wir haben tatsächlich einen durchschnittlichen Mietspiegel von ca. 11,00 Euro kalt, bei durchschnittlich niederen Einkommen. Gerne auch 20,00 Euro kalt. Dies ist möglich, weil die Menschen von München weg ziehen müssen. So wird das Problem verlagert, nicht gelöst. Aber vielen Dank für das Feedback.",0
994,1516,"Das Programm der GRÜNEN hat unter anderem aus Deutschland den größten Puff Europas gemacht, durch das ""Prostitutions-Schutzgesetz"" wird sogar Menschenhandel gefördert.",0
1139,1731,"Es ist fatal die einen hilfesuchenden Menschen, gegen andere hilfesuchende Menschen auszuspielen. Anstatt nach unten zu treten müssen wir endlich nach oben die die Augen unserer Ausbeuter schauen.",0
344,534,erklären sie mal was an Jung rechtsradikal ist!!,0
562,850,"""Seenotrettern egal"" Jeds Schiff ist verplfichtet Menschen aus Seenot zu retten.",0
932,1419,@USER ja genau aber ich glaube wohl eher für die Grünen wenn die Welle wieder abgeebbt ist ! Die sind genau wie die AFDler sie haben nur eine Spielkarte !,0
2643,144,"Liebes @MEDIUM, ich hätte meine Wortwahl bedacht, wäred ihr mir vorgekommen und hätte Dirk ermahnt für sein Kommentar, mir gegenüber. Aufjedenfall gibt es nur Toleranz gratis, Respekt muß man sich selbst verdienen. Das hat weder eure Jesuiten Sendung noch irgend ein Autogeiler Minister und Dirk schon mal garnicht.",1
1241,1894,"@USER Warum sollte ich dankbarer sein, als jemand, der seit grade mal dreissig Jahren meine kulturelle Sozialisation teilt? Ist was genetisch bedingtes, näch? Genau das schrieb ich, danke für die Bestätigung.",0
